gpu_vram_gb,workload_type,framework,model_size_mb,batch_size,dataset_size_mb,epochs,runtime_minutes
4.0,Training,TensorFlow,1180.7,8,4073.9,20,360.0
8.0,Training,PyTorch,998.5,256,10362.9,100,360.0
6.0,FineTuning,PyTorch,2090.2,128,9218.0,20,360.0
6.0,FineTuning,PyTorch,2059.0,256,10767.7,20,211.35
4.0,Inference,PyTorch,944.6,32,393.5,20,12.33
48.0,Training,PyTorch,2813.6,256,1967.9,5,3.5
8.0,FineTuning,TensorFlow,167.1,64,12619.0,10,36.03
8.0,FineTuning,PyTorch,2778.0,256,5772.8,100,360.0
16.0,FineTuning,PyTorch,1855.9,16,12567.1,5,300.7
48.0,Inference,TensorFlow,2771.6,8,1033.8,100,156.48
80.0,Training,TensorFlow,1934.5,32,11563.6,30,329.93
80.0,Training,PyTorch,3910.5,64,1348.1,100,109.56
10.0,FineTuning,JAX,1372.0,32,7078.1,5,122.4
12.0,Training,JAX,3931.2,128,14069.8,5,217.42
6.0,Training,JAX,306.6,8,1257.4,50,360.0
80.0,Training,TensorFlow,2750.9,128,5324.9,20,35.35
48.0,Training,TensorFlow,1844.2,256,7823.4,5,9.57
8.0,FineTuning,PyTorch,3297.4,128,13501.9,20,360.0
80.0,Training,PyTorch,3169.0,256,5055.8,10,10.28
8.0,Training,PyTorch,3210.8,16,12124.9,5,360.0
80.0,FineTuning,PyTorch,424.2,128,10800.8,50,16.72
6.0,FineTuning,PyTorch,3298.3,64,4675.3,50,360.0
80.0,Inference,PyTorch,895.5,8,5178.1,30,43.08
48.0,Training,PyTorch,151.4,16,2946.1,5,4.71
80.0,Inference,JAX,910.1,32,10425.1,10,6.8
12.0,FineTuning,TensorFlow,1943.2,128,8490.2,20,161.91
6.0,FineTuning,PyTorch,2981.3,32,2408.8,100,360.0
48.0,Training,PyTorch,913.6,16,9339.0,100,360.0
16.0,FineTuning,TensorFlow,496.4,32,7529.9,100,360.0
48.0,Inference,TensorFlow,2601.6,64,1479.6,100,25.12
12.0,Inference,JAX,3936.4,16,14310.2,5,312.19
6.0,Training,JAX,2423.4,8,12537.9,30,360.0
16.0,Training,JAX,2779.7,8,1158.3,50,360.0
12.0,FineTuning,PyTorch,2266.6,8,13975.9,100,360.0
12.0,Inference,PyTorch,3140.3,8,13758.5,5,360.0
4.0,Training,TensorFlow,3904.4,16,728.5,30,360.0
6.0,FineTuning,PyTorch,2199.3,16,3102.0,10,360.0
48.0,FineTuning,TensorFlow,1696.3,256,10565.9,100,117.36
8.0,FineTuning,PyTorch,3448.4,16,14025.1,20,360.0
8.0,FineTuning,TensorFlow,3880.4,128,12364.4,10,360.0
48.0,Training,PyTorch,560.3,256,4300.3,10,3.71
48.0,Inference,PyTorch,2333.8,16,598.2,100,31.94
6.0,FineTuning,PyTorch,3180.2,16,7146.0,20,360.0
48.0,FineTuning,JAX,2156.7,16,1470.2,5,14.86
4.0,Training,PyTorch,1666.3,8,3754.9,20,360.0
16.0,FineTuning,JAX,2638.2,64,9637.4,30,360.0
48.0,Training,TensorFlow,1117.0,8,7475.8,10,301.95
8.0,Training,TensorFlow,1429.1,256,5713.1,100,360.0
48.0,FineTuning,TensorFlow,3969.5,64,13956.4,20,336.74
4.0,FineTuning,PyTorch,2564.0,64,2975.2,50,360.0
80.0,FineTuning,PyTorch,3498.1,64,7363.4,20,82.28
80.0,Training,PyTorch,3240.7,256,8645.1,20,40.97
12.0,FineTuning,TensorFlow,2626.5,256,4896.9,30,79.5
10.0,Training,TensorFlow,3370.9,8,10608.9,100,360.0
16.0,FineTuning,PyTorch,1184.3,128,13022.5,10,67.09
24.0,Training,PyTorch,2566.6,32,8168.0,30,360.0
12.0,FineTuning,PyTorch,2382.9,128,11741.9,30,360.0
80.0,Inference,PyTorch,2508.6,8,1008.3,50,46.21
8.0,Training,PyTorch,716.1,64,2391.4,30,110.44
24.0,Training,PyTorch,1145.1,32,6984.2,100,360.0
12.0,FineTuning,PyTorch,1182.3,128,13823.2,30,267.29
24.0,FineTuning,PyTorch,2427.7,256,8020.7,50,121.4
6.0,FineTuning,PyTorch,3891.6,256,6541.3,5,78.0
10.0,FineTuning,PyTorch,3818.6,16,9041.6,30,360.0
6.0,Training,PyTorch,947.4,256,1954.5,20,32.01
24.0,Training,PyTorch,1254.1,128,9839.8,30,166.75
6.0,Training,PyTorch,192.4,8,1500.9,10,86.55
4.0,Training,PyTorch,1625.3,32,8694.2,20,360.0
80.0,FineTuning,PyTorch,3347.0,16,10744.4,20,360.0
4.0,Training,PyTorch,3667.2,256,6231.5,5,160.71
48.0,Inference,TensorFlow,984.2,256,13672.5,10,2.53
6.0,Inference,PyTorch,1099.9,32,2365.3,10,25.87
48.0,Inference,PyTorch,922.4,32,2647.3,10,3.84
8.0,Inference,PyTorch,1432.9,128,7802.0,30,73.6
16.0,Training,PyTorch,3228.8,256,13981.7,30,360.0
8.0,Inference,TensorFlow,2605.1,64,5921.4,20,107.53
24.0,Training,PyTorch,3154.5,256,13903.4,5,54.35
80.0,Training,PyTorch,2353.0,128,10432.8,30,84.18
6.0,FineTuning,PyTorch,1068.0,16,11760.1,100,360.0
12.0,Training,PyTorch,950.6,8,14074.3,100,360.0
16.0,Inference,PyTorch,85.6,256,8627.7,30,2.6
10.0,FineTuning,PyTorch,3134.9,128,9660.6,5,85.2
10.0,FineTuning,PyTorch,3396.1,64,8727.0,10,360.0
10.0,Training,PyTorch,3084.7,64,11794.4,20,360.0
6.0,FineTuning,PyTorch,343.9,128,4173.8,30,46.38
10.0,Training,TensorFlow,3060.8,16,11841.9,5,360.0
4.0,Inference,PyTorch,230.8,64,10731.8,5,8.76
16.0,Training,PyTorch,467.1,64,9070.8,10,58.07
4.0,FineTuning,PyTorch,1789.9,256,678.0,50,41.11
16.0,Training,PyTorch,1930.8,256,11640.7,50,287.45
4.0,Training,TensorFlow,3273.7,16,2073.1,50,360.0
16.0,FineTuning,PyTorch,2734.1,16,14433.4,50,360.0
48.0,Training,PyTorch,655.6,16,1314.2,30,42.96
6.0,FineTuning,PyTorch,943.3,16,10832.1,100,360.0
6.0,Training,PyTorch,1178.4,128,5470.3,100,360.0
10.0,Training,PyTorch,538.5,128,11061.8,5,33.57
8.0,FineTuning,TensorFlow,1186.2,32,7832.4,100,360.0
10.0,Training,TensorFlow,2928.0,32,9479.6,100,360.0
24.0,Training,PyTorch,1003.5,32,1224.0,20,47.13
4.0,Inference,JAX,3349.7,64,14500.5,100,360.0
16.0,Training,PyTorch,1904.6,16,157.3,100,136.2
8.0,Training,TensorFlow,1325.6,128,14123.3,100,360.0
24.0,Training,TensorFlow,1679.1,128,8566.9,30,166.98
6.0,Training,PyTorch,2852.5,16,3948.2,50,360.0
6.0,FineTuning,PyTorch,2091.3,32,9602.1,20,360.0
10.0,Training,JAX,78.8,256,10126.2,20,10.45
4.0,FineTuning,PyTorch,3693.2,64,10981.9,100,360.0
8.0,Training,PyTorch,310.7,128,344.9,100,12.31
80.0,Training,PyTorch,3757.6,8,14743.5,50,360.0
24.0,Training,TensorFlow,161.2,64,9306.9,20,23.12
24.0,FineTuning,JAX,3095.4,64,5725.3,30,235.34
10.0,Inference,PyTorch,2162.0,32,8602.7,10,130.99
6.0,FineTuning,TensorFlow,2047.6,16,2758.5,30,360.0
10.0,Inference,PyTorch,337.5,8,3784.3,30,101.49
16.0,Training,JAX,993.0,32,1378.1,10,38.86
8.0,Training,PyTorch,3121.3,16,13200.6,50,360.0
4.0,Training,PyTorch,3570.5,8,3848.8,50,360.0
48.0,Training,PyTorch,2140.0,256,11121.7,10,25.2
12.0,Training,PyTorch,1445.7,256,4185.6,100,210.76
12.0,Training,PyTorch,286.8,128,2275.2,30,19.19
10.0,Training,TensorFlow,2744.6,8,1711.2,5,309.71
16.0,Training,PyTorch,1149.9,32,12917.6,20,360.0
8.0,Training,JAX,267.3,8,1884.1,20,193.69
80.0,Training,PyTorch,2680.1,8,1398.5,20,169.71
12.0,Inference,PyTorch,1968.6,8,239.4,5,6.39
8.0,Training,PyTorch,97.3,128,5560.0,30,21.79
4.0,FineTuning,TensorFlow,488.1,256,14146.0,50,274.83
16.0,FineTuning,PyTorch,2811.8,256,13638.9,100,360.0
6.0,Training,TensorFlow,301.5,16,1814.3,10,60.3
8.0,Training,JAX,3470.6,8,286.2,20,360.0
4.0,Training,PyTorch,1279.7,64,11290.0,100,360.0
80.0,FineTuning,PyTorch,400.2,32,4666.5,5,3.99
48.0,Training,TensorFlow,3051.0,64,12536.7,100,360.0
6.0,Training,TensorFlow,2121.5,16,3309.9,10,360.0
48.0,Training,PyTorch,1261.2,32,7433.9,30,251.08
80.0,Inference,PyTorch,1654.1,16,590.9,5,1.84
4.0,Training,PyTorch,134.6,32,13431.3,100,360.0
12.0,FineTuning,PyTorch,2667.7,256,2751.8,5,9.74
48.0,FineTuning,PyTorch,1494.8,256,4491.1,10,4.7
6.0,Inference,PyTorch,2870.4,64,7247.5,10,110.55
10.0,FineTuning,PyTorch,2531.3,64,4141.9,20,273.79
24.0,FineTuning,PyTorch,2622.5,128,698.4,30,12.16
8.0,Inference,JAX,3181.9,16,533.4,10,22.29
12.0,FineTuning,TensorFlow,2543.1,64,14332.7,20,360.0
48.0,Training,JAX,1704.0,32,4949.9,100,360.0
8.0,Training,TensorFlow,1590.2,8,5082.4,20,360.0
10.0,FineTuning,PyTorch,522.3,8,13851.2,10,360.0
80.0,Inference,TensorFlow,3128.8,8,12558.7,5,67.74
24.0,FineTuning,JAX,3056.4,128,10335.4,100,360.0
4.0,FineTuning,JAX,1022.9,64,9911.7,5,147.67
10.0,FineTuning,PyTorch,3457.6,16,12036.2,5,360.0
10.0,Training,PyTorch,2376.6,16,2616.2,20,360.0
80.0,FineTuning,PyTorch,1940.8,128,9997.7,5,7.3
16.0,Training,PyTorch,119.1,32,1566.1,30,13.4
80.0,Inference,JAX,1561.8,256,1985.0,5,0.98
16.0,FineTuning,PyTorch,2580.6,64,3717.1,100,360.0
16.0,FineTuning,TensorFlow,404.5,64,10676.1,100,360.0
12.0,Training,PyTorch,1865.3,32,13398.9,5,360.0
12.0,Training,PyTorch,3974.1,32,10392.7,20,360.0
6.0,Training,PyTorch,2880.3,64,6307.7,100,360.0
48.0,FineTuning,PyTorch,2210.1,64,7753.6,50,226.1
48.0,FineTuning,PyTorch,2155.5,8,10713.7,30,360.0
4.0,Training,PyTorch,222.9,16,9237.9,20,360.0
48.0,FineTuning,PyTorch,3831.4,8,7989.1,30,360.0
12.0,Inference,TensorFlow,3716.3,8,3628.2,30,360.0
6.0,Training,PyTorch,2745.5,16,9292.7,5,360.0
6.0,FineTuning,TensorFlow,441.1,128,378.2,30,5.37
16.0,FineTuning,PyTorch,870.9,256,8444.8,5,7.41
80.0,FineTuning,PyTorch,776.4,128,12329.1,30,21.16
4.0,FineTuning,PyTorch,2102.3,128,2778.3,100,360.0
16.0,FineTuning,TensorFlow,870.8,128,1801.7,50,29.65
80.0,Inference,PyTorch,2798.4,32,14556.5,30,81.01
48.0,Training,PyTorch,2203.7,8,12667.6,10,360.0
16.0,FineTuning,JAX,119.7,32,4599.8,5,5.21
8.0,Training,PyTorch,2989.0,32,3207.7,50,360.0
48.0,Training,PyTorch,795.9,16,5077.2,5,29.43
80.0,Training,TensorFlow,3308.3,128,6525.3,50,158.31
4.0,Training,PyTorch,1452.4,64,12334.1,5,360.0
80.0,Inference,PyTorch,1387.5,128,3664.1,10,1.31
16.0,Inference,PyTorch,96.7,8,10840.6,100,161.25
16.0,Training,PyTorch,3951.5,32,13946.4,10,360.0
10.0,FineTuning,PyTorch,2467.4,8,5754.7,50,360.0
4.0,FineTuning,PyTorch,1719.8,32,488.1,20,95.54
48.0,Inference,TensorFlow,431.7,32,12431.5,5,3.66
6.0,FineTuning,PyTorch,2811.6,32,10655.4,20,360.0
4.0,Training,PyTorch,1166.8,64,2321.1,30,360.0
6.0,FineTuning,TensorFlow,3953.7,128,8993.9,10,300.27
4.0,FineTuning,PyTorch,3804.7,32,12389.8,5,360.0
4.0,FineTuning,TensorFlow,2954.4,16,2797.4,10,360.0
80.0,Inference,TensorFlow,3885.7,256,3421.2,30,4.75
4.0,Inference,PyTorch,467.3,256,3106.5,100,27.72
10.0,FineTuning,PyTorch,1155.7,32,14962.8,50,360.0
16.0,FineTuning,JAX,1050.3,128,3519.9,5,7.0
24.0,Inference,JAX,334.5,128,4077.1,5,1.22
6.0,Training,PyTorch,3890.3,64,814.1,5,57.4
16.0,Training,PyTorch,286.9,32,14750.8,50,360.0
24.0,Training,PyTorch,3433.9,16,3776.6,10,360.0
6.0,Inference,PyTorch,3084.2,64,10906.0,50,360.0
6.0,FineTuning,PyTorch,1534.7,64,492.9,100,163.42
24.0,Training,PyTorch,124.3,32,11772.7,10,22.04
4.0,Inference,TensorFlow,74.1,32,11284.1,100,149.05
48.0,FineTuning,PyTorch,855.8,64,1353.9,5,2.51
8.0,Inference,TensorFlow,2000.8,64,1926.8,50,82.75
16.0,Training,PyTorch,1858.7,64,4497.1,100,360.0
80.0,FineTuning,PyTorch,2361.9,8,5384.6,30,360.0
16.0,FineTuning,PyTorch,3099.2,64,11774.1,50,360.0
80.0,FineTuning,PyTorch,1540.6,128,1011.7,10,2.03
24.0,FineTuning,PyTorch,683.4,256,9788.6,5,4.56
80.0,Inference,TensorFlow,3210.2,16,3505.2,10,19.68
6.0,Training,PyTorch,1364.1,16,5798.8,20,360.0
48.0,Inference,TensorFlow,1183.2,256,132.8,5,0.78
48.0,Training,PyTorch,3069.0,32,4437.7,30,290.57
6.0,Training,PyTorch,3739.9,64,2652.9,30,360.0
10.0,Training,PyTorch,3664.1,16,7609.2,20,360.0
24.0,Training,TensorFlow,592.9,16,2457.1,10,45.52
10.0,Training,PyTorch,2037.5,128,12553.7,30,360.0
10.0,Inference,PyTorch,416.8,128,13255.3,10,11.2
16.0,FineTuning,JAX,3845.9,8,12694.8,5,360.0
16.0,Training,TensorFlow,900.2,256,14728.9,50,174.69
8.0,FineTuning,PyTorch,829.8,8,13728.2,5,360.0
80.0,Training,TensorFlow,3561.1,16,4268.8,10,147.45
6.0,Training,PyTorch,3873.0,32,4785.5,100,360.0
16.0,FineTuning,TensorFlow,2805.6,16,8036.6,20,360.0
24.0,FineTuning,PyTorch,528.0,32,5835.9,100,299.47
80.0,FineTuning,PyTorch,1969.1,16,14551.7,5,79.72
8.0,Training,PyTorch,3275.6,128,5159.0,30,360.0
8.0,FineTuning,PyTorch,2311.3,64,11127.2,5,174.53
24.0,FineTuning,PyTorch,573.7,16,8672.9,5,43.74
10.0,Inference,TensorFlow,729.0,8,14351.6,5,143.19
48.0,Training,TensorFlow,3463.4,32,11193.3,20,360.0
24.0,FineTuning,PyTorch,2131.8,32,4624.3,10,100.37
12.0,FineTuning,PyTorch,2838.1,16,3036.3,20,360.0
24.0,Inference,PyTorch,1523.6,32,12833.8,30,160.24
8.0,Training,PyTorch,2153.3,8,13674.1,10,360.0
6.0,FineTuning,JAX,3909.6,128,12483.3,30,360.0
16.0,Training,PyTorch,1352.3,64,11088.0,10,189.93
6.0,FineTuning,PyTorch,2715.4,64,4893.8,10,224.51
8.0,Training,PyTorch,731.4,32,7630.1,100,360.0
16.0,Training,PyTorch,530.9,16,13744.0,5,212.31
12.0,FineTuning,PyTorch,3145.4,32,2110.0,5,73.47
48.0,Training,PyTorch,3384.2,8,7474.3,20,360.0
80.0,Training,PyTorch,2689.8,256,5397.1,10,8.46
8.0,Training,PyTorch,674.9,16,10194.6,30,360.0
8.0,Training,PyTorch,1000.3,128,9547.6,5,73.37
8.0,Inference,PyTorch,3649.1,8,8444.9,100,360.0
16.0,FineTuning,PyTorch,1190.4,128,4266.3,30,47.32
4.0,Inference,TensorFlow,3284.5,16,2477.3,100,360.0
24.0,Training,PyTorch,1179.5,128,11786.6,5,29.85
4.0,Inference,JAX,3760.9,8,14877.1,10,360.0
12.0,FineTuning,PyTorch,3662.1,8,2619.5,30,360.0
48.0,FineTuning,PyTorch,220.9,32,1229.3,20,3.71
10.0,FineTuning,PyTorch,3093.1,256,11211.4,20,224.5
12.0,FineTuning,PyTorch,719.4,16,5223.5,20,258.4
10.0,FineTuning,JAX,900.3,64,3273.8,5,20.26
10.0,Training,PyTorch,1866.4,256,7924.4,5,34.37
48.0,Training,PyTorch,2326.5,64,10160.7,20,181.1
6.0,FineTuning,JAX,1336.9,128,3301.3,30,146.63
4.0,FineTuning,PyTorch,2322.8,64,14918.1,5,360.0
8.0,Training,PyTorch,724.1,64,4990.5,20,183.96
80.0,Training,PyTorch,138.2,8,4792.8,5,7.52
10.0,FineTuning,PyTorch,2306.3,8,6402.7,50,360.0
12.0,Inference,PyTorch,2093.8,8,11200.9,30,360.0
6.0,Training,PyTorch,2774.1,64,13111.5,10,360.0
10.0,Training,TensorFlow,2616.8,128,4927.4,30,360.0
6.0,Inference,TensorFlow,3595.1,16,1869.3,10,126.9
6.0,FineTuning,PyTorch,1864.9,32,3916.3,20,360.0
10.0,Training,PyTorch,83.1,128,1355.8,5,2.15
16.0,Inference,PyTorch,2541.1,8,9492.1,20,360.0
24.0,FineTuning,PyTorch,2716.8,128,11136.4,100,360.0
8.0,FineTuning,PyTorch,2109.9,16,6496.1,10,360.0
8.0,Inference,TensorFlow,2772.8,256,14296.6,50,186.7
16.0,Inference,TensorFlow,1328.2,8,10940.1,10,219.28
8.0,Training,PyTorch,637.8,16,5756.9,5,215.16
6.0,Training,PyTorch,2675.0,256,1623.0,50,163.39
48.0,Training,PyTorch,1018.5,32,7456.2,5,35.87
12.0,Training,PyTorch,1852.4,128,7607.1,50,360.0
4.0,Training,PyTorch,1991.9,32,8303.7,5,360.0
8.0,Training,PyTorch,1934.9,64,10268.5,10,360.0
48.0,Inference,PyTorch,2413.9,128,4039.3,10,3.82
10.0,Inference,PyTorch,166.3,256,137.0,10,1.1
24.0,FineTuning,PyTorch,3959.2,64,12211.4,10,242.23
6.0,FineTuning,JAX,2879.4,16,12370.7,50,360.0
24.0,Training,PyTorch,1730.3,64,13683.2,30,360.0
12.0,Training,PyTorch,805.8,256,14538.6,30,167.07
12.0,Training,PyTorch,366.7,256,2471.7,20,7.05
16.0,FineTuning,PyTorch,2705.2,16,5372.7,30,360.0
80.0,Training,JAX,1302.0,32,12785.3,20,169.43
16.0,Inference,PyTorch,956.4,8,14016.6,10,242.4
48.0,FineTuning,JAX,1550.8,32,316.5,5,2.18
24.0,Training,PyTorch,2392.0,64,5874.3,30,337.08
80.0,Training,PyTorch,2703.2,16,1789.4,30,139.39
10.0,FineTuning,PyTorch,2598.4,64,11848.0,10,334.67
6.0,Inference,PyTorch,3459.9,256,11232.2,10,55.42
24.0,FineTuning,PyTorch,914.1,8,11339.1,30,360.0
16.0,Training,TensorFlow,2565.1,128,5914.5,10,83.59
4.0,FineTuning,PyTorch,449.4,128,6153.1,30,104.21
80.0,Training,PyTorch,2214.3,128,4001.8,5,7.37
80.0,Inference,PyTorch,2356.6,64,5477.3,100,48.25
6.0,FineTuning,PyTorch,904.1,128,14747.9,5,74.64
8.0,FineTuning,PyTorch,1597.2,16,793.9,20,181.64
12.0,Training,PyTorch,3317.4,8,4927.7,30,360.0
12.0,FineTuning,PyTorch,636.2,256,11869.9,100,215.82
4.0,Training,PyTorch,1766.3,32,5797.0,5,360.0
48.0,Training,TensorFlow,3734.3,256,14254.8,100,360.0
48.0,Training,TensorFlow,2041.2,16,5048.9,5,98.44
10.0,Inference,PyTorch,2914.3,8,12761.4,50,360.0
24.0,FineTuning,JAX,3316.1,32,12244.9,100,360.0
8.0,Training,TensorFlow,854.9,128,237.2,5,2.8
16.0,Inference,PyTorch,912.0,32,6104.5,20,40.13
80.0,Training,PyTorch,3046.4,64,4281.5,5,17.93
4.0,Training,PyTorch,3025.6,64,7246.2,10,360.0
12.0,Training,PyTorch,287.7,128,6995.3,50,89.33
10.0,FineTuning,TensorFlow,1323.9,128,13592.4,30,360.0
48.0,FineTuning,TensorFlow,1624.2,16,2835.4,20,101.96
4.0,FineTuning,TensorFlow,3324.7,16,2814.6,100,360.0
80.0,FineTuning,PyTorch,1716.4,256,1710.2,100,12.36
16.0,Training,PyTorch,3707.4,64,11105.9,5,237.11
10.0,FineTuning,PyTorch,3986.6,8,13776.1,30,360.0
80.0,Training,PyTorch,3133.9,16,5590.7,5,107.31
12.0,FineTuning,PyTorch,2682.2,8,1021.2,50,360.0
12.0,FineTuning,PyTorch,1598.0,256,2424.7,30,28.51
12.0,FineTuning,PyTorch,314.8,64,1625.5,10,5.54
4.0,FineTuning,PyTorch,2313.9,16,8925.9,100,360.0
4.0,FineTuning,TensorFlow,1478.7,8,4306.2,10,360.0
48.0,Training,PyTorch,1436.0,256,13472.0,100,192.25
48.0,Inference,TensorFlow,2766.5,8,2518.0,30,88.26
16.0,Training,JAX,1881.4,16,13959.3,10,360.0
10.0,Training,TensorFlow,3020.8,128,5057.8,20,322.35
6.0,FineTuning,TensorFlow,1622.8,256,13022.9,100,360.0
6.0,FineTuning,PyTorch,645.9,256,14240.0,50,249.52
80.0,Training,PyTorch,1872.3,32,14796.8,20,271.71
12.0,Inference,TensorFlow,3806.5,128,12073.5,30,153.94
10.0,Inference,TensorFlow,3216.0,256,1615.1,20,9.04
4.0,FineTuning,PyTorch,862.7,32,925.1,100,360.0
24.0,FineTuning,TensorFlow,1595.6,8,11122.0,50,360.0
8.0,FineTuning,PyTorch,3714.8,16,13465.9,50,360.0
16.0,Training,PyTorch,538.6,256,2574.2,100,46.26
12.0,FineTuning,PyTorch,1053.1,64,14121.9,30,360.0
12.0,Inference,PyTorch,1085.8,16,9192.4,100,360.0
12.0,Inference,PyTorch,2305.2,128,1947.7,20,10.31
4.0,Inference,PyTorch,1672.4,32,2588.8,100,360.0
4.0,Training,PyTorch,365.5,16,1082.7,50,360.0
8.0,Training,TensorFlow,2535.3,32,2233.9,30,360.0
10.0,Training,PyTorch,441.4,128,11008.6,100,360.0
12.0,Training,PyTorch,2445.3,128,3359.6,50,335.86
6.0,Training,PyTorch,2052.7,16,8468.6,100,360.0
48.0,Training,PyTorch,2000.0,256,10844.1,5,10.81
6.0,FineTuning,PyTorch,316.6,64,13439.6,5,47.86
80.0,FineTuning,PyTorch,2574.9,256,8889.9,50,45.08
6.0,FineTuning,JAX,1753.7,64,8588.8,30,360.0
80.0,Inference,PyTorch,1673.9,32,13701.1,5,8.68
24.0,Training,PyTorch,2406.0,16,4494.1,50,360.0
48.0,Training,TensorFlow,2444.7,8,3135.2,100,360.0
6.0,FineTuning,JAX,109.4,128,13104.7,10,15.5
24.0,FineTuning,PyTorch,544.6,256,1210.4,100,9.9
16.0,FineTuning,PyTorch,984.2,32,2926.3,20,97.35
10.0,Training,PyTorch,2728.0,128,6227.7,50,360.0
24.0,Training,PyTorch,2328.1,32,5482.6,5,116.06
10.0,FineTuning,PyTorch,3042.6,16,10620.8,50,360.0
6.0,Inference,TensorFlow,2975.4,32,1467.9,100,360.0
24.0,Inference,PyTorch,3420.1,32,7209.7,30,152.48
48.0,FineTuning,PyTorch,1538.4,8,12147.5,5,191.57
6.0,FineTuning,PyTorch,1413.0,32,10281.8,30,360.0
12.0,Inference,JAX,3332.5,64,9511.6,30,278.85
4.0,FineTuning,PyTorch,988.5,32,3666.5,100,360.0
24.0,FineTuning,PyTorch,1871.6,32,5965.1,30,315.51
48.0,Inference,PyTorch,817.6,16,2792.8,50,29.44
16.0,FineTuning,PyTorch,3659.7,32,7683.0,5,212.02
12.0,Inference,TensorFlow,1660.8,8,8804.1,30,360.0
16.0,Training,PyTorch,889.3,16,9504.6,10,360.0
6.0,FineTuning,PyTorch,2783.5,128,13151.7,20,360.0
4.0,Inference,PyTorch,1016.3,64,1021.3,50,45.62
24.0,Training,TensorFlow,3776.8,64,5885.9,10,216.22
24.0,FineTuning,PyTorch,1502.1,128,8905.5,5,20.34
6.0,Training,JAX,2675.3,32,8594.8,20,360.0
6.0,Inference,PyTorch,1413.7,8,423.4,30,67.79
4.0,FineTuning,PyTorch,3238.6,8,2920.7,10,360.0
48.0,Training,PyTorch,3592.8,8,12701.6,10,360.0
48.0,FineTuning,PyTorch,3162.3,8,7779.3,30,360.0
4.0,FineTuning,TensorFlow,3401.6,32,6262.0,100,360.0
48.0,FineTuning,TensorFlow,452.4,128,13512.6,100,66.1
80.0,Training,PyTorch,3700.1,128,1216.8,30,19.03
10.0,Inference,PyTorch,2516.0,64,13842.4,10,110.41
4.0,FineTuning,PyTorch,3483.4,128,514.0,5,15.9
4.0,FineTuning,JAX,2753.5,8,8483.8,50,360.0
8.0,Training,PyTorch,847.3,32,8370.9,5,215.26
12.0,Inference,PyTorch,2457.7,16,9622.1,5,109.22
12.0,Training,PyTorch,409.2,16,541.4,50,72.43
80.0,FineTuning,PyTorch,2798.1,8,8004.7,5,113.77
6.0,Inference,TensorFlow,1665.6,256,1792.8,20,9.57
6.0,Training,TensorFlow,649.3,64,2424.1,30,137.85
16.0,FineTuning,PyTorch,3918.0,16,3308.8,10,341.12
80.0,Training,PyTorch,3609.3,256,9236.3,50,120.45
4.0,FineTuning,PyTorch,3579.5,8,5912.3,5,360.0
80.0,FineTuning,JAX,3165.8,32,1371.5,10,15.76
80.0,Inference,PyTorch,2783.3,16,4406.3,100,200.0
80.0,Inference,PyTorch,2637.6,8,1241.7,20,21.92
12.0,FineTuning,PyTorch,469.1,16,9995.5,5,90.43
80.0,FineTuning,PyTorch,3607.2,32,8406.2,5,47.16
10.0,FineTuning,PyTorch,3530.5,128,6174.5,5,55.17
6.0,Training,PyTorch,3004.0,128,13922.4,20,360.0
16.0,FineTuning,TensorFlow,3712.9,32,7829.0,30,360.0
10.0,Inference,PyTorch,2234.7,32,13324.3,10,196.68
16.0,Training,PyTorch,1818.2,128,8728.4,5,44.66
8.0,Training,PyTorch,3873.4,32,5714.2,100,360.0
16.0,Training,PyTorch,1883.3,32,8131.1,5,219.28
6.0,Training,PyTorch,2583.2,32,2362.7,20,360.0
6.0,Training,PyTorch,1523.6,128,10153.8,20,360.0
80.0,FineTuning,PyTorch,2563.5,128,14733.8,10,26.98
24.0,FineTuning,PyTorch,2894.4,256,3786.8,10,14.18
8.0,FineTuning,PyTorch,2517.4,16,4915.6,100,360.0
4.0,Training,PyTorch,2082.5,128,6150.8,5,157.79
48.0,FineTuning,TensorFlow,1235.4,16,7303.9,100,360.0
16.0,Inference,PyTorch,2593.2,128,10814.6,100,308.44
24.0,Inference,PyTorch,3638.3,64,2136.4,100,90.18
80.0,FineTuning,PyTorch,77.3,16,4606.7,5,1.56
12.0,Training,PyTorch,579.0,32,8126.2,5,93.99
4.0,Inference,TensorFlow,523.1,64,8884.7,5,20.49
24.0,FineTuning,PyTorch,3696.7,256,8095.8,5,17.79
12.0,Training,TensorFlow,2667.9,128,6588.8,100,360.0
8.0,Training,PyTorch,3809.6,128,10701.0,20,360.0
80.0,Training,TensorFlow,2352.1,256,3146.7,30,17.09
4.0,Training,JAX,1873.8,64,4312.6,10,360.0
4.0,Training,PyTorch,3179.8,8,6722.8,20,360.0
4.0,Inference,TensorFlow,685.7,32,10463.0,50,360.0
8.0,FineTuning,PyTorch,1556.3,16,1327.0,50,360.0
16.0,FineTuning,JAX,1891.8,64,1823.5,50,140.88
8.0,Inference,TensorFlow,1228.9,16,11757.9,10,214.62
48.0,FineTuning,JAX,1516.6,128,3988.2,5,4.17
6.0,Inference,PyTorch,358.5,8,14456.0,50,360.0
80.0,Inference,TensorFlow,832.0,256,14424.9,50,5.71
8.0,Training,PyTorch,1375.2,8,10320.6,30,360.0
12.0,Inference,PyTorch,3193.8,16,10781.4,20,360.0
48.0,FineTuning,PyTorch,770.9,256,9799.9,100,57.86
