gpu_utilization,cpu_utilization,ram_usage_percent,temperature_c,power_draw_w,hour_of_day,day_of_week,requested_duration_hours,historical_reliability,is_available
27.92,78.62,86.2,80.7,88.1,13,5,2.31,0.911,0
81.18,57.89,92.37,84.2,119.8,5,2,3.66,0.848,0
79.35,27.7,20.64,65.8,197.7,12,1,9.28,0.966,1
69.61,23.33,52.7,50.3,282.6,21,1,2.6,0.876,1
30.31,35.63,58.87,84.0,168.2,11,2,2.55,0.97,1
59.89,47.89,22.43,49.1,95.3,11,2,2.1,0.826,1
38.57,31.65,45.2,42.3,58.1,22,4,0.28,0.48,1
13.52,51.34,40.37,55.7,242.2,11,0,1.96,0.871,1
90.31,19.88,57.88,74.9,165.5,10,0,3.47,0.949,1
17.72,92.99,67.9,84.3,70.1,13,1,1.21,0.754,1
93.37,14.71,71.28,70.6,245.8,3,2,1.97,0.872,0
46.48,88.87,25.94,85.7,96.4,12,4,5.42,0.916,1
22.22,87.22,80.04,44.4,192.9,7,3,0.58,0.835,1
55.4,52.28,69.28,42.9,128.0,23,0,0.86,0.894,1
86.18,70.24,86.13,69.0,328.1,22,5,0.43,0.943,1
73.1,44.24,50.95,86.4,103.1,2,0,1.59,0.921,1
80.01,61.7,86.51,64.1,164.4,13,2,3.86,0.955,1
66.27,35.65,84.26,42.5,337.0,18,6,1.34,0.977,0
69.38,32.1,50.07,50.6,132.0,17,3,0.34,0.876,0
83.98,57.04,45.49,51.8,236.3,10,0,0.81,0.884,1
28.22,49.83,89.62,56.2,131.4,12,6,4.61,0.967,1
50.52,57.16,72.21,42.1,65.4,22,4,1.83,0.715,1
25.57,30.8,89.26,83.4,230.8,5,0,5.11,0.908,0
96.85,38.03,78.76,64.7,323.1,22,2,3.8,0.989,1
92.8,12.55,63.74,72.2,174.8,17,2,1.27,0.767,0
8.67,9.7,24.27,43.2,230.4,19,5,2.21,0.905,1
70.62,27.81,38.32,42.6,224.8,0,5,2.38,0.893,1
91.05,11.68,92.51,68.2,162.8,1,3,2.95,0.824,0
21.79,14.34,40.55,82.6,226.8,6,0,1.01,0.979,1
57.82,78.16,22.46,65.4,113.0,4,3,0.88,0.77,1
90.14,8.5,71.6,82.1,151.0,18,6,2.51,0.976,1
8.16,64.3,73.72,78.9,171.5,1,0,3.62,0.763,0
69.86,29.53,37.84,43.6,306.5,2,1,1.27,0.972,1
32.65,83.44,38.81,49.7,141.5,19,0,0.97,0.925,1
90.97,48.65,52.51,71.6,233.2,9,2,3.69,0.922,0
95.31,32.5,16.74,61.3,98.3,9,2,2.52,0.964,1
92.82,51.59,78.15,54.0,110.8,20,1,1.04,0.705,1
49.1,39.38,40.37,60.1,237.5,7,0,1.71,0.832,0
85.17,55.79,83.3,61.4,273.9,8,0,6.68,0.897,1
83.54,15.31,79.21,83.7,177.9,1,2,2.97,0.544,0
34.68,94.73,67.91,45.0,137.2,2,1,0.7,0.89,1
82.09,43.3,40.99,53.4,321.3,15,2,0.9,0.994,1
8.44,36.34,56.31,65.8,73.5,3,6,0.82,0.858,1
60.45,68.92,50.59,73.5,260.6,22,1,3.97,0.911,1
26.39,37.75,42.11,70.3,250.9,5,2,2.25,0.954,1
16.21,79.99,82.85,85.2,250.9,12,4,5.83,0.9,0
12.16,45.88,53.68,78.2,329.3,5,0,0.39,0.905,1
69.75,69.76,81.62,66.7,263.0,9,3,0.31,0.711,1
36.61,14.67,23.42,50.3,126.5,22,4,2.46,0.985,1
72.4,81.15,26.28,61.6,143.1,16,2,0.82,0.843,1
11.08,71.21,93.19,73.3,155.2,7,1,2.47,0.982,1
34.32,24.05,62.02,80.2,39.9,8,3,2.77,0.776,1
55.17,18.08,55.78,86.1,322.3,1,1,0.93,0.921,0
78.54,33.47,56.85,69.1,53.5,16,5,6.3,0.986,1
34.64,92.85,32.22,65.3,253.9,19,1,3.18,0.997,1
63.21,28.11,72.5,40.8,263.7,10,5,1.12,0.969,0
87.4,46.05,21.78,43.5,300.0,17,6,1.26,0.62,1
62.28,7.7,60.87,47.5,207.1,21,5,2.72,0.955,1
26.67,40.75,60.66,42.6,262.1,2,0,0.92,0.923,1
7.27,56.42,88.14,59.2,126.9,8,2,0.9,0.987,1
85.92,90.78,57.09,56.2,268.6,7,0,2.16,0.777,0
6.98,51.51,25.97,70.6,139.9,6,5,0.49,0.772,1
86.35,78.72,60.82,65.7,318.9,6,1,10.22,0.893,1
54.19,54.24,22.31,68.6,82.3,22,0,0.88,0.992,1
92.33,8.67,31.3,62.7,131.0,20,4,1.16,0.866,1
79.29,33.35,17.49,53.3,189.6,7,6,0.71,0.997,1
97.81,56.8,56.06,85.7,278.3,19,5,2.26,0.906,1
37.62,90.55,21.76,44.1,269.6,4,1,0.32,0.949,1
76.35,82.32,52.55,85.1,97.4,2,1,5.46,0.859,0
42.38,25.55,89.64,54.9,76.2,18,4,0.92,0.977,1
49.63,24.81,72.58,64.6,127.3,1,1,5.44,0.999,1
63.36,23.11,21.19,45.2,184.8,13,3,0.78,0.902,0
86.25,88.02,32.94,43.4,202.5,20,3,1.64,0.878,1
96.52,81.74,68.89,60.6,167.3,1,2,2.58,0.814,1
76.45,74.74,86.58,75.6,242.2,9,2,2.1,0.708,1
43.85,40.35,17.63,52.9,166.8,19,0,1.64,0.759,1
44.19,50.39,80.0,67.0,332.8,9,0,3.31,0.979,1
73.6,46.79,59.95,53.4,113.5,16,6,1.47,0.868,1
27.21,27.81,58.69,58.7,230.8,1,4,1.01,0.945,1
15.27,50.45,91.63,83.5,225.6,0,4,2.74,0.846,0
37.98,7.74,74.81,81.1,120.1,17,5,5.74,0.965,1
31.71,16.86,83.01,64.8,161.7,3,6,2.04,0.711,1
32.56,84.79,43.32,51.4,147.0,0,1,0.86,0.875,1
26.73,72.65,59.35,49.3,85.2,21,2,3.08,0.88,1
8.91,43.06,64.23,85.8,182.7,16,5,3.07,0.98,0
6.66,51.54,40.73,49.7,153.7,2,2,0.82,0.989,1
96.86,38.3,60.62,78.8,87.1,1,2,1.17,0.907,1
44.78,71.67,33.93,57.7,174.0,17,2,0.5,0.943,1
40.74,75.58,26.47,87.3,165.0,3,0,0.37,0.829,1
68.21,73.7,44.92,57.7,72.0,2,3,3.49,0.962,1
25.3,70.04,74.14,56.9,72.0,11,5,1.13,0.689,1
93.35,23.41,88.29,70.6,237.2,21,4,0.86,0.991,1
78.13,35.42,51.62,86.2,256.1,15,4,0.79,0.958,1
13.32,47.29,66.43,86.9,331.2,10,2,0.36,0.958,0
43.84,34.77,23.24,73.9,57.8,9,2,8.58,0.775,1
86.76,72.94,87.36,76.2,67.7,18,0,1.11,0.961,1
92.86,34.64,60.49,67.0,46.6,9,0,0.56,0.857,0
48.47,17.44,77.43,76.3,200.3,20,4,4.19,0.905,1
62.05,40.91,78.56,81.3,229.3,2,2,2.77,0.671,0
20.53,93.19,35.52,63.3,159.1,23,2,2.37,0.946,1
97.18,25.33,57.33,69.8,285.3,5,6,0.91,0.983,1
26.55,60.09,91.84,65.8,249.7,13,5,1.27,0.998,1
92.67,43.97,22.17,67.0,345.5,11,4,3.88,0.903,1
65.42,11.39,69.64,82.7,74.1,7,0,2.24,0.999,1
61.52,48.91,91.98,57.1,48.7,1,5,1.05,0.878,0
52.68,68.19,39.05,50.0,117.9,8,4,0.43,0.853,1
26.45,51.19,83.92,61.9,36.1,13,0,4.81,0.885,1
21.42,83.49,89.69,50.0,328.4,0,0,6.43,0.701,0
25.51,31.0,74.77,63.9,127.3,2,5,2.74,0.99,1
22.34,12.76,33.51,83.4,206.8,19,5,2.55,0.973,1
77.5,89.29,41.72,69.6,131.8,5,0,1.74,0.968,1
37.56,39.04,17.86,81.1,108.7,19,2,7.32,0.801,1
10.38,56.88,81.52,48.0,78.8,12,4,2.57,0.665,1
95.13,76.28,82.97,83.2,132.5,10,0,0.36,0.996,1
87.19,34.19,65.62,68.9,226.9,14,3,0.39,0.841,1
91.28,69.45,43.2,41.5,340.9,17,6,6.82,0.955,1
97.53,17.19,21.14,70.4,208.6,18,0,5.94,0.957,1
21.17,31.22,75.24,85.7,200.5,18,0,1.83,0.985,1
41.85,18.02,73.12,43.8,41.3,5,5,0.68,0.871,1
75.52,78.01,88.01,68.0,298.8,14,0,1.95,0.996,1
69.73,25.04,73.44,83.9,44.3,20,6,3.08,0.818,1
19.31,69.57,81.3,40.5,320.0,13,1,0.22,0.963,1
80.87,89.9,74.68,70.3,202.4,4,5,3.66,0.941,0
25.87,52.5,65.45,62.8,83.9,10,3,1.45,0.892,1
25.82,53.6,49.16,56.7,174.5,19,2,1.44,0.802,1
54.94,46.49,87.17,70.1,348.4,12,6,1.34,0.971,1
60.14,34.33,67.08,42.5,127.6,12,5,2.55,0.915,1
58.95,47.81,46.87,76.1,116.2,3,4,0.67,0.859,1
13.51,59.25,21.68,40.2,67.8,8,4,2.07,0.98,1
86.6,93.74,38.26,54.7,221.1,22,5,0.29,0.956,1
29.7,89.4,58.5,64.2,58.6,12,4,3.54,0.917,1
17.04,82.59,37.05,58.1,275.1,7,5,3.58,0.785,1
87.65,85.02,32.7,54.8,324.2,19,2,0.95,0.933,1
93.88,47.11,57.19,79.9,328.2,10,0,0.42,0.995,1
85.18,64.17,28.59,84.9,64.5,18,3,2.95,0.99,1
80.28,85.56,79.03,81.9,208.6,0,4,1.47,0.986,1
65.94,40.37,53.75,65.1,61.1,8,1,5.38,0.915,1
56.23,91.56,60.91,82.4,213.0,1,1,1.07,0.983,0
13.09,42.42,26.79,84.2,290.8,3,3,3.88,0.911,1
42.99,59.1,40.97,59.6,202.1,3,4,0.25,0.986,1
39.66,68.88,47.81,53.6,309.1,0,0,3.16,0.974,1
29.16,90.55,79.66,44.7,286.5,17,4,2.47,0.703,0
72.28,27.02,76.61,63.0,118.5,13,6,1.69,0.962,1
51.12,72.15,32.84,85.4,231.6,12,0,5.03,0.806,0
12.54,51.87,64.29,66.9,32.4,7,4,5.9,0.91,1
25.48,29.17,34.48,72.0,156.7,5,1,5.51,0.936,1
68.54,74.89,94.06,45.4,106.1,16,2,2.02,0.943,1
12.08,54.7,91.17,46.9,329.9,22,5,1.67,0.885,1
84.16,64.49,60.06,62.3,159.7,10,3,0.83,0.97,1
51.05,34.06,70.91,85.7,239.3,14,0,0.55,0.889,0
49.69,48.31,79.11,57.3,264.2,6,2,1.83,0.976,1
60.09,60.56,72.68,82.1,277.4,21,0,0.52,0.999,1
81.7,41.44,70.99,45.8,265.4,7,6,0.58,0.717,1
37.35,22.85,91.68,69.6,122.5,10,3,1.08,0.992,1
68.06,91.55,62.72,68.8,249.5,20,6,0.61,0.93,1
57.61,51.03,65.9,81.3,205.7,1,6,1.59,0.997,1
29.83,71.05,82.94,40.2,221.2,19,2,2.38,0.941,0
86.71,41.99,68.59,49.1,30.3,10,6,2.59,0.99,1
79.16,36.96,73.63,50.5,112.6,13,2,1.72,0.814,0
66.24,41.64,33.73,85.6,327.8,23,5,1.68,0.765,0
84.1,41.83,44.7,47.4,122.8,12,5,1.49,0.84,1
85.66,53.98,26.78,41.8,170.2,7,3,0.76,0.976,1
70.88,53.91,55.46,65.7,89.7,11,3,2.32,0.7,1
82.84,49.74,51.46,65.4,74.4,20,0,2.34,0.929,1
69.86,17.13,94.77,80.5,96.8,21,6,0.79,0.871,1
68.25,49.65,63.9,85.5,207.2,8,2,2.61,0.821,0
62.53,20.22,77.92,65.9,324.1,9,3,4.1,0.925,1
75.0,16.35,41.72,84.6,134.4,10,5,2.01,0.726,0
19.75,88.94,81.52,74.8,133.5,10,0,0.45,0.94,1
86.92,59.45,64.21,52.7,210.5,15,4,0.99,0.964,1
86.08,64.35,70.76,84.6,144.2,17,5,0.39,0.99,0
7.72,41.16,38.55,72.0,321.3,20,3,0.92,0.945,1
81.8,86.81,58.89,59.9,150.9,8,5,0.68,0.92,1
16.98,62.41,65.72,72.7,186.9,2,6,1.82,0.97,1
36.17,74.23,62.13,59.3,200.7,21,5,1.3,0.918,1
74.15,38.17,88.22,45.5,280.3,3,2,2.77,0.879,1
19.95,91.4,86.86,74.5,210.4,19,4,1.1,0.969,1
81.07,78.84,92.68,79.6,106.5,18,3,0.54,0.828,1
82.39,81.86,68.39,75.0,69.7,9,6,0.74,0.557,1
52.19,20.5,92.75,51.0,330.1,12,1,1.78,0.961,1
5.59,29.39,81.6,85.9,286.5,0,2,1.4,0.915,0
31.69,30.71,36.67,41.2,37.3,11,6,0.29,0.98,1
62.37,29.38,49.19,56.0,292.9,10,5,0.67,0.934,1
96.25,81.99,34.07,52.5,219.0,23,2,0.9,0.994,1
63.76,7.87,15.34,42.3,196.0,4,0,2.78,0.791,1
29.16,11.85,30.04,59.5,33.9,1,6,2.82,0.737,1
63.96,29.65,15.32,69.9,279.9,16,1,2.59,0.715,1
55.22,22.99,72.59,82.4,93.4,16,3,3.61,0.881,1
77.53,25.87,49.04,87.5,263.0,19,1,4.34,0.667,0
14.95,76.81,40.01,78.8,35.1,14,5,0.35,0.799,1
75.78,55.68,75.94,62.5,284.8,3,3,1.56,0.987,1
55.34,5.52,81.6,74.7,37.4,21,6,0.52,0.931,1
94.56,43.64,93.02,80.5,105.5,10,0,1.07,0.816,1
36.79,41.71,66.36,62.3,115.8,22,5,2.38,0.86,1
63.83,15.26,51.92,77.7,80.4,0,5,2.04,0.944,1
91.68,65.85,39.42,63.2,183.9,9,4,0.48,0.955,0
14.53,68.19,32.79,58.6,120.8,17,1,3.03,0.978,1
92.16,69.88,32.03,65.3,347.9,14,2,3.29,0.884,1
68.97,70.56,47.74,72.4,215.6,18,3,0.5,0.894,1
11.31,5.0,94.34,74.9,211.3,3,1,2.11,0.965,1
32.99,90.85,15.07,57.1,100.7,5,3,6.01,0.94,1
70.86,78.28,30.78,67.4,160.8,1,1,0.4,0.905,1
11.26,86.36,30.07,83.7,69.7,12,2,0.56,0.877,1
59.14,6.41,72.37,86.9,274.0,1,3,3.1,0.991,0
37.17,89.05,43.2,50.9,136.0,12,3,1.02,0.783,1
62.75,77.88,51.58,49.3,270.6,14,4,6.43,0.865,1
9.25,80.35,26.89,72.5,148.9,17,0,2.16,0.992,1
86.05,13.4,47.4,59.9,346.4,10,1,1.52,0.821,1
95.53,71.49,23.26,41.2,84.8,4,2,1.02,0.969,1
95.11,91.39,57.64,56.6,30.5,13,6,0.75,0.909,1
74.72,66.07,22.84,78.7,220.3,21,4,2.3,0.99,1
17.1,56.35,78.24,78.3,334.9,15,4,1.99,0.788,0
75.52,90.11,60.33,63.7,237.1,13,0,1.09,0.996,1
7.29,44.86,72.92,62.7,57.4,8,6,5.2,0.839,1
7.06,58.94,48.48,67.8,203.0,5,2,3.07,0.833,1
35.1,47.87,45.52,50.5,321.0,8,6,0.8,0.817,1
50.44,88.96,22.86,65.3,32.1,4,5,5.94,0.901,1
76.65,11.85,56.91,40.5,83.4,10,1,3.02,0.967,1
68.55,50.1,56.16,62.8,290.7,11,3,4.75,0.958,1
46.47,66.83,52.45,56.1,316.1,16,0,0.49,0.963,1
30.45,76.27,74.24,72.4,256.3,5,3,0.27,0.942,1
97.73,57.47,81.6,70.6,347.3,19,4,1.56,0.914,0
44.63,86.8,75.06,58.3,58.9,5,3,1.39,0.956,1
46.98,89.78,26.51,40.3,204.6,14,1,4.28,0.686,1
20.22,10.79,64.76,52.1,249.2,16,5,0.58,0.96,1
78.92,41.21,21.43,70.4,254.8,21,1,0.25,0.714,1
69.51,7.11,70.57,43.5,283.9,2,5,1.71,0.695,0
25.53,34.65,45.55,45.2,323.6,18,3,0.59,0.958,1
12.66,53.32,25.6,71.1,145.7,22,3,0.3,0.915,1
68.29,86.97,83.96,76.3,43.7,1,0,0.24,0.861,1
65.87,81.19,64.12,55.4,146.0,8,5,0.51,0.845,1
30.41,16.47,43.38,63.5,244.9,8,1,1.14,0.754,1
93.43,13.37,17.46,85.4,98.3,6,3,4.51,0.813,1
19.05,58.03,57.98,85.4,289.2,15,2,3.06,0.965,1
45.21,52.89,88.86,54.8,100.3,5,0,1.71,0.975,1
92.76,28.97,62.71,78.9,33.2,8,0,1.33,0.726,0
44.03,85.95,92.73,68.5,192.6,12,6,1.42,0.955,1
64.38,88.46,25.92,86.8,262.5,1,0,4.52,0.969,0
41.98,41.24,60.46,62.9,141.9,13,0,2.78,0.932,1
30.5,85.13,78.85,77.2,269.6,4,5,0.58,0.803,1
96.51,39.56,57.04,76.9,170.3,10,5,5.82,0.78,0
43.07,71.31,22.29,63.9,84.9,14,3,3.16,0.938,0
88.15,47.83,61.63,78.2,59.0,5,4,0.27,0.853,1
26.39,16.03,63.94,52.5,257.4,5,6,1.6,0.95,1
24.82,88.51,73.3,45.9,153.4,15,2,2.32,0.973,1
7.9,45.87,75.9,60.4,322.1,19,4,0.33,0.938,1
65.61,71.1,76.66,85.3,202.9,3,4,1.07,0.875,0
39.27,38.05,68.08,64.0,141.5,4,3,2.29,0.963,0
85.39,6.7,32.26,70.5,141.7,5,0,3.59,0.84,1
49.01,14.05,47.34,70.0,72.1,12,0,7.76,0.78,1
95.04,49.66,77.09,46.4,220.0,13,3,0.46,0.992,1
22.25,67.1,91.27,58.7,216.3,23,3,2.2,0.947,1
85.78,35.13,21.32,73.9,286.0,12,5,4.67,0.896,1
77.22,67.59,57.84,86.7,94.4,9,1,2.72,0.976,1
76.7,67.88,40.0,48.1,123.1,16,0,2.2,0.999,1
83.56,68.35,33.03,59.7,61.1,23,2,0.68,0.93,1
75.78,49.33,55.46,44.6,124.5,17,1,3.58,0.937,1
63.24,87.34,63.49,51.6,167.0,6,4,1.85,0.861,1
17.21,49.03,15.78,58.1,338.5,3,6,0.44,0.814,0
8.02,45.52,77.42,66.0,239.0,23,5,5.69,0.89,1
90.64,22.94,80.59,51.1,280.5,21,5,9.11,0.806,1
62.35,32.69,92.24,50.9,134.2,20,0,1.74,0.973,1
79.08,8.81,29.45,77.3,76.2,15,3,3.2,0.971,1
49.78,62.02,62.56,86.2,112.2,9,3,1.95,0.79,1
15.91,27.37,49.13,55.5,112.1,20,6,1.3,0.972,1
16.64,32.37,41.79,73.0,216.6,19,3,1.25,0.997,1
68.76,74.37,60.25,52.4,139.3,18,0,6.87,0.995,0
45.02,34.45,77.59,84.5,304.4,2,5,1.12,0.985,1
23.65,26.8,16.84,72.3,346.3,18,2,1.55,0.938,1
50.72,20.22,92.55,78.5,139.9,22,3,0.77,0.835,1
10.97,74.74,79.79,42.4,255.6,23,5,0.78,0.933,1
59.12,16.67,75.09,68.7,240.4,12,0,1.08,0.924,1
30.02,45.84,75.83,65.3,92.2,7,4,5.37,0.965,1
79.17,50.62,46.12,54.1,323.8,17,1,1.21,0.962,1
33.86,66.87,75.13,52.6,93.8,18,0,1.81,0.89,1
47.34,62.0,45.94,67.8,265.8,17,0,1.78,0.713,0
6.08,77.96,86.9,73.9,141.2,21,5,1.95,0.866,1
11.74,9.03,29.18,41.6,147.5,18,3,3.63,0.958,0
41.5,31.68,38.39,67.2,175.7,21,6,4.83,0.833,1
49.63,30.21,59.11,48.2,306.6,3,1,0.67,0.789,1
60.8,18.14,40.54,46.7,74.9,12,1,4.14,0.987,1
32.12,31.03,48.94,69.9,47.5,11,3,1.79,0.892,1
69.63,32.88,54.39,54.9,158.7,14,2,5.37,0.997,1
84.99,51.97,83.51,61.2,47.8,14,0,5.16,0.995,1
77.53,64.73,56.86,57.3,250.0,9,3,1.19,0.934,1
8.68,39.3,44.0,71.1,273.3,21,6,2.31,0.741,1
49.69,69.75,34.82,62.6,303.5,18,5,4.3,0.976,1
14.76,35.25,47.69,86.2,268.0,20,2,1.17,0.941,1
27.51,31.13,56.26,56.9,323.2,7,3,0.29,0.885,1
96.76,53.71,74.69,75.5,269.5,18,4,1.09,0.988,1
18.25,7.13,24.68,52.4,329.5,8,2,1.11,1.0,1
51.4,12.18,32.73,64.4,91.8,6,6,3.49,0.851,0
62.49,42.62,45.37,66.5,190.0,7,5,0.94,0.911,1
70.33,89.86,43.83,55.8,348.1,8,2,4.69,0.91,1
57.05,69.94,46.34,62.6,248.1,16,1,1.79,0.974,1
5.91,12.93,78.48,53.4,311.2,14,0,1.96,0.858,1
35.36,81.17,40.93,40.3,39.7,15,3,3.49,0.997,1
53.15,70.91,55.15,50.4,309.0,6,6,0.49,0.906,0
13.17,59.99,64.91,73.6,253.3,9,6,0.24,0.898,1
37.61,78.83,33.57,77.0,84.6,18,5,0.32,0.886,1
8.09,41.37,72.5,53.4,38.2,5,5,0.26,0.982,1
12.31,24.94,58.77,59.6,113.2,11,3,2.61,0.955,1
41.91,51.08,50.74,41.8,323.0,14,0,0.76,0.988,1
17.34,54.4,79.78,51.4,243.8,9,5,4.1,0.912,1
57.78,53.45,34.48,77.4,324.2,23,5,4.49,0.857,1
69.12,55.86,85.65,69.1,172.8,17,0,1.08,0.962,1
79.45,90.38,59.88,49.9,329.7,3,5,0.63,0.859,0
23.61,86.2,63.73,52.4,178.1,10,5,1.58,0.92,1
20.58,83.81,85.0,79.2,95.4,4,5,3.58,0.987,1
14.72,77.13,80.41,50.0,78.4,12,1,2.51,0.865,1
64.19,89.91,63.12,56.0,348.0,9,0,0.25,0.897,1
70.7,13.86,75.26,71.9,136.8,21,4,0.21,0.832,1
7.94,28.86,49.67,66.9,81.2,6,1,0.44,0.846,1
92.07,49.56,58.79,62.1,32.7,10,2,1.02,0.864,1
9.83,81.19,19.97,83.2,121.4,3,0,1.74,0.99,0
55.34,50.46,22.19,50.5,314.5,3,2,3.6,0.965,1
70.94,72.32,81.35,75.6,200.9,4,1,0.51,0.64,0
86.0,17.51,19.77,47.6,232.4,8,5,0.53,0.995,1
71.41,27.72,28.55,69.6,325.2,0,4,4.18,0.933,1
79.56,70.86,78.67,81.8,194.1,15,6,5.35,0.654,0
36.57,19.83,15.09,62.0,298.2,4,4,1.8,0.97,1
80.78,36.62,37.59,74.8,133.6,4,0,3.27,0.828,1
12.45,28.84,61.72,79.4,342.7,6,4,1.04,0.943,1
88.22,36.49,62.64,46.5,55.2,7,5,6.05,0.888,1
55.93,68.75,77.17,73.9,261.9,18,6,4.91,0.869,0
81.01,38.11,55.47,84.2,241.4,0,3,3.99,0.861,1
47.07,54.97,55.75,67.7,91.3,17,5,0.23,0.853,0
64.85,13.99,73.02,48.9,154.4,21,1,1.68,0.839,1
53.96,77.45,54.89,46.1,130.1,10,5,0.25,0.98,1
73.04,38.29,63.68,52.5,60.2,21,4,2.46,0.862,0
12.59,63.37,86.82,45.0,217.1,15,1,0.61,0.931,1
10.61,70.29,47.12,64.6,348.0,20,1,2.24,0.838,1
27.98,23.87,45.81,43.3,209.1,10,5,0.41,0.928,1
19.84,84.62,15.28,50.7,204.5,20,5,3.03,0.929,0
86.08,60.46,64.07,61.1,42.9,8,3,2.79,0.97,1
25.39,43.59,17.38,62.7,74.6,6,5,0.21,0.906,1
95.76,21.41,55.33,67.1,194.2,21,5,3.34,0.965,1
36.33,89.81,79.34,73.9,345.3,14,6,0.56,0.998,1
21.94,72.96,58.99,42.3,310.5,10,0,0.43,0.992,1
78.44,23.72,36.57,43.9,138.9,22,1,1.59,0.99,1
66.26,35.39,77.89,42.9,203.8,18,3,1.98,0.977,1
51.33,77.87,36.58,60.3,206.9,6,4,0.42,0.954,1
56.65,67.61,73.64,42.0,249.3,15,6,0.93,0.966,1
71.89,73.92,63.82,75.8,250.1,2,2,1.25,0.956,1
26.25,44.71,28.6,50.7,282.7,15,0,5.95,0.773,0
97.66,69.48,87.41,85.1,38.0,7,6,0.78,0.973,1
95.66,39.78,31.05,63.3,332.0,9,5,0.8,0.999,1
65.48,24.01,94.17,61.4,52.4,8,2,2.35,0.999,1
23.56,61.94,15.58,77.5,182.4,2,3,2.8,0.928,1
68.26,92.84,36.08,74.2,324.3,6,1,0.22,0.709,1
11.71,32.95,30.99,69.2,186.1,7,3,0.49,0.982,1
7.85,46.49,16.12,84.9,50.4,2,0,1.09,0.994,1
28.96,65.66,73.59,60.3,103.4,15,0,2.2,0.797,1
48.02,53.74,70.47,78.8,215.2,21,4,0.49,0.833,1
85.75,80.91,78.39,58.2,58.1,13,3,1.08,0.899,1
72.63,73.56,35.54,80.2,165.6,6,0,0.37,0.774,1
74.07,10.25,50.55,52.5,135.3,3,3,1.89,0.881,1
44.57,94.86,67.73,53.9,290.9,5,4,1.31,0.957,1
37.17,72.72,50.18,72.5,65.2,6,4,3.3,0.997,1
39.51,82.75,70.79,50.2,248.5,11,3,1.91,0.788,0
96.85,63.61,65.72,51.0,160.1,6,5,2.35,0.78,1
8.73,82.07,24.17,54.7,218.1,0,0,2.42,0.967,1
85.63,15.11,77.48,72.6,95.8,17,6,1.98,0.992,1
58.82,36.3,72.65,82.7,225.1,10,1,0.23,0.952,1
45.79,83.88,67.47,72.4,245.7,10,5,3.77,0.876,1
72.45,23.15,27.41,79.7,52.5,16,1,5.17,0.996,1
50.26,12.04,36.44,66.1,293.8,11,5,1.73,0.973,1
86.23,75.93,46.45,43.3,305.6,22,4,0.44,0.7,0
88.77,80.19,37.39,44.8,50.3,22,0,2.33,0.974,1
44.22,19.64,33.22,66.6,223.0,18,4,1.1,0.838,0
30.74,81.89,79.43,55.7,220.1,20,6,0.35,0.962,1
60.09,66.81,66.06,50.6,34.0,17,4,4.05,0.905,1
89.85,51.81,60.24,62.4,139.6,20,4,2.69,0.709,0
24.59,79.72,33.08,72.0,340.1,23,6,3.47,0.87,1
62.94,42.73,88.45,58.5,207.7,12,4,3.38,0.928,1
63.74,22.46,30.29,78.5,328.6,9,3,1.09,0.727,0
73.18,30.64,78.6,75.4,246.2,18,3,1.52,0.791,1
17.24,50.46,92.33,75.3,39.1,3,0,0.73,0.968,1
71.57,52.82,73.17,87.3,54.9,23,5,3.01,0.923,1
89.54,77.5,94.43,54.2,261.1,14,0,1.68,0.974,1
21.71,76.22,67.08,70.9,207.5,17,2,2.3,0.789,1
27.09,57.32,32.4,81.1,70.7,0,1,1.08,0.815,0
95.34,75.27,31.31,67.8,226.5,18,6,2.47,0.889,1
21.83,22.26,40.97,77.9,289.3,1,3,2.42,0.997,1
84.46,9.51,15.57,59.9,271.0,9,6,3.14,0.962,1
50.78,83.63,69.54,68.3,108.8,17,0,0.54,0.801,1
27.99,11.8,36.49,42.7,112.6,3,5,2.15,0.905,1
85.98,27.2,80.21,87.3,339.7,21,4,4.43,0.918,0
46.41,67.58,43.73,78.4,314.0,9,3,0.4,0.833,1
52.88,41.85,53.4,81.7,131.9,20,1,6.68,0.848,1
38.41,83.87,92.26,73.3,293.7,3,3,0.67,0.825,1
60.14,31.82,34.37,48.9,81.8,23,5,5.71,0.954,1
20.21,6.07,72.7,41.5,93.0,20,1,4.25,0.992,1
41.37,32.06,75.41,81.5,88.0,17,2,3.14,0.994,1
95.16,57.03,32.68,59.0,58.1,19,0,0.67,0.979,1
29.01,38.83,55.08,52.7,303.5,22,5,0.69,0.886,1
66.08,53.14,43.02,67.0,215.2,3,1,0.8,0.875,1
35.24,83.89,76.75,60.2,112.9,14,2,3.53,0.913,0
76.93,87.12,64.8,71.3,301.6,21,5,0.62,0.934,1
17.17,28.94,53.08,63.2,286.8,17,5,1.94,0.966,1
95.19,46.59,77.35,73.5,62.3,8,3,3.21,0.839,1
47.2,54.42,33.81,81.0,236.1,19,0,1.43,0.82,1
26.95,90.42,75.29,49.4,261.0,16,6,3.87,0.777,1
11.84,94.88,84.23,55.8,259.1,2,6,1.85,0.935,1
20.79,26.19,85.29,61.0,261.4,12,1,2.01,0.806,1
53.34,70.43,77.69,86.2,84.2,6,5,2.46,0.904,1
36.34,39.02,47.64,57.5,130.8,13,6,3.94,0.844,1
82.09,5.73,93.54,58.3,300.1,5,5,0.21,0.896,1
45.07,5.83,45.37,71.4,317.5,13,1,1.2,0.973,1
